country,driving,walking,transit,date,baseflag,mean_mobility,weekday,weekno,cutoff_mean_mobility
Albania,100,100,,13/01/2020,1,100,2,2,60.9845
Albania,95.3,100.68,,14/01/2020,,97.99,3,2,60.9845
Albania,101.43,98.93,,15/01/2020,,100.18,4,2,60.9845
Albania,97.2,98.46,,16/01/2020,,97.83,5,2,60.9845
Albania,103.55,100.85,,17/01/2020,,102.2,6,2,60.9845
Albania,112.67,100.13,,18/01/2020,,106.4,7,2,60.9845
Albania,104.83,82.13,,19/01/2020,,93.48,1,3,60.9845
Albania,94.39,95.65,,20/01/2020,,95.02,2,3,60.9845
Albania,94.07,97.78,,21/01/2020,,95.925,3,3,60.9845
Albania,93.51,95.39,,22/01/2020,,94.45,4,3,60.9845
Albania,92.94,94.24,,23/01/2020,,93.59,5,3,60.9845
Albania,102.13,93.73,,24/01/2020,,97.93,6,3,60.9845
Albania,102.38,97.06,,25/01/2020,,99.72,7,3,60.9845
Albania,101.41,77.27,,26/01/2020,,89.34,1,4,60.9845
Albania,94.62,83.37,,27/01/2020,,88.995,2,4,60.9845
Albania,89.12,82.73,,28/01/2020,,85.925,3,4,60.9845
Albania,90.17,84.39,,29/01/2020,,87.28,4,4,60.9845
Albania,90.21,88.19,,30/01/2020,,89.2,5,4,60.9845
Albania,97.71,90.79,,31/01/2020,,94.25,6,4,60.9845
Albania,102.5,88.7,,01/02/2020,,95.6,7,4,60.9845
Albania,108.92,79.32,,02/02/2020,,94.12,1,5,60.9845
Albania,92.82,87.12,,03/02/2020,,89.97,2,5,60.9845
Albania,91.48,88.06,,04/02/2020,,89.77,3,5,60.9845
Albania,93.99,99.4,,05/02/2020,,96.695,4,5,60.9845
Albania,96.72,85.84,,06/02/2020,,91.28,5,5,60.9845
Albania,102.46,94.63,,07/02/2020,,98.545,6,5,60.9845
Albania,103.29,99.74,,08/02/2020,,101.515,7,5,60.9845
Albania,107.83,81.41,,09/02/2020,,94.62,1,6,60.9845
Albania,87.99,90.19,,10/02/2020,,89.09,2,6,60.9845
Albania,94.18,90.45,,11/02/2020,,92.315,3,6,60.9845
Albania,94.62,94.16,,12/02/2020,,94.39,4,6,60.9845
Albania,99.7,95.69,,13/02/2020,,97.695,5,6,60.9845
Albania,139.3,109.21,,14/02/2020,,124.255,6,6,60.9845
Albania,123.9,108.4,,15/02/2020,,116.15,7,6,60.9845
Albania,129.41,84.52,,16/02/2020,,106.965,1,7,60.9845
Albania,102.24,96.63,,17/02/2020,,99.435,2,7,60.9845
Albania,88.09,87.38,,18/02/2020,,87.735,3,7,60.9845
Albania,88.17,81.49,,19/02/2020,,84.83,4,7,60.9845
Albania,94.48,87.21,,20/02/2020,,90.845,5,7,60.9845
Albania,100.62,93.52,,21/02/2020,,97.07,6,7,60.9845
Albania,111.02,94.5,,22/02/2020,,102.76,7,7,60.9845
Albania,113.5,74.8,,23/02/2020,,94.15,1,8,60.9845
Albania,86.95,87.25,,24/02/2020,,87.1,2,8,60.9845
Albania,83.01,81.41,,25/02/2020,,82.21,3,8,60.9845
Albania,85.44,77.78,,26/02/2020,,81.61,4,8,60.9845
Albania,82.73,74.5,,27/02/2020,,78.615,5,8,60.9845
Albania,89.7,81.19,,28/02/2020,,85.445,6,8,60.9845
Albania,95.48,87.97,,29/02/2020,,91.725,7,8,60.9845
Albania,100.43,78.42,,01/03/2020,,89.425,1,9,60.9845
Albania,89.25,94.88,,02/03/2020,,92.065,2,9,60.9845
Albania,91.02,95.65,,03/03/2020,,93.335,3,9,60.9845
