COUNTRY,AWARE,BOR_CLOSE,PRISON,ADMIN,HEALTH,INTERNAT,POLICIES,IMP_EXP,PUB_GATHER,PUBHEALTH,SCHOOL,EMERGENCY,HEALTHSYS,MONITOR,BUS_CLOSE,CURFEWS,DOMESTIC,ECO_MEAS,MIL_DEP,PLOCK,PROTGEAR,MASSTEST,TEST,FUNERAL,FLOCK,GENERAL,VISA,PSYCH,DOCS,BOR_CHECK,RLOCK,CHECK,HUMAN,CBOR_CLOSE,stable_start_date,stable_mean_mobility,adjusted_stable_start_date,lost_mean_mobility,decline_start,slope
Albania,11/03/2020,,23/03/2020,02/04/2020,19/03/2020,,,08/03/2020,10/03/2020,,10/03/2020,30/04/2020,24/01/2020,13/04/2020,10/03/2020,23/03/2020,16/03/2020,12/03/2020,11/03/2020,02/04/2020,,,,,,,,,,,,,,,11/03/2020,30.276071429,13/03/2020,69.723928571,06MAR2020,-10.72857143
Argentina,17/02/2020,26/03/2020,,,,12/03/2020,08/05/2020,,12/03/2020,,16/03/2020,19/03/2020,18/03/2020,25/03/2020,16/03/2020,,19/03/2020,16/03/2020,,19/03/2020,31/03/2020,05/05/2020,24/04/2020,,,31/03/2020,11/03/2020,,,,,,,,15/03/2020,22.547857143,20/03/2020,77.452142857,12MAR2020,-10.3125
Australia,20/03/2020,20/03/2020,,17/02/2020,,25/03/2020,02/04/2020,,13/03/2020,,,,12/03/2020,26/04/2020,,,09/04/2020,01/03/2020,,29/03/2020,,,25/03/2020,,,22/03/2020,,25/03/2020,,,,,,,21/03/2020,41.288333333,26/03/2020,58.711666667,12MAR2020,-4.154285714
Austria,13/04/2020,30/04/2020,,15/04/2020,,,,,10/03/2020,01/05/2020,16/03/2020,,21/03/2020,16/04/2020,16/03/2020,,14/03/2020,13/03/2020,04/05/2020,16/03/2020,01/05/2020,,16/04/2020,,,21/04/2020,19/03/2020,17/03/2020,25/03/2020,30/04/2020,24/04/2020,,,,14/03/2020,33.343571429,17/03/2020,66.656428571,06MAR2020,-8.853181818
Belgium,01/02/2020,18/03/2020,,12/03/2020,03/06/2020,31/03/2020,,,18/03/2020,21/04/2020,13/03/2020,,12/03/2020,11/05/2020,13/03/2020,,18/03/2020,13/03/2020,,18/03/2020,,,04/05/2020,,,18/03/2020,,22/04/2020,,20/03/2020,,,,,14/03/2020,41.095,18/03/2020,58.905,07MAR2020,-10.70060606
Brazil,18/03/2020,08/04/2020,,16/03/2020,,08/04/2020,20/03/2020,,,,08/04/2020,,22/04/2020,,08/04/2020,,08/04/2020,29/05/2020,,,01/06/2020,,,,,,,17/04/2020,,,,,,,17/03/2020,34.309761905,21/03/2020,65.690238095,09MAR2020,-6.118055556
Bulgaria,07/04/2020,17/03/2020,,12/03/2020,18/03/2020,17/03/2020,,,,06/04/2020,11/03/2020,13/03/2020,31/01/2020,,13/03/2020,,,15/05/2020,,20/03/2020,12/04/2020,15/04/2020,,,,,14/05/2020,,,21/03/2020,,,,,14/03/2020,33.607142857,20/03/2020,66.392857143,06MAR2020,-5.959285714
Cambodia,,,,10/04/2020,,,08/04/2020,,18/03/2020,,,,,,,,10/04/2020,09/03/2020,,18/03/2020,,,,,,,30/03/2020,,19/02/2020,,,,,,11/03/2020,52.038571429,17/03/2020,47.961428571,07MAR2020,-3.4525
Canada,25/01/2020,14/03/2020,,03/05/2020,14/03/2020,18/03/2020,16/03/2020,,28/05/2020,15/04/2020,,,12/05/2020,,,,,14/04/2020,,,,,,,,13/03/2020,,,,,,,,,17/03/2020,42.399285714,23/03/2020,57.600714286,09MAR2020,-4.512619048
Chile,,15/03/2020,15/03/2020,,,,25/05/2020,,21/03/2020,,,19/03/2020,01/04/2020,,,22/03/2020,24/03/2020,25/03/2020,19/03/2020,26/03/2020,08/04/2020,,,,,08/04/2020,,,10/03/2020,,,30/03/2020,,,17/03/2020,28.283571429,21/03/2020,71.716428571,13MAR2020,-10.76625
Colombia,,14/03/2020,,,,23/03/2020,16/03/2020,,20/03/2020,24/04/2020,16/03/2020,17/03/2020,27/03/2020,,,,24/03/2020,02/04/2020,12/05/2020,16/03/2020,04/04/2020,11/05/2020,29/04/2020,,,,,,16/03/2020,,,,,,16/03/2020,34.698571429,21/03/2020,65.301428571,14MAR2020,-10.12
Croatia,,19/03/2020,,12/03/2020,,19/03/2020,24/02/2020,,19/03/2020,22/05/2020,16/03/2020,,19/03/2020,24/02/2020,19/03/2020,,23/03/2020,15/03/2020,,18/04/2020,,,,,,01/03/2020,,,20/04/2020,,,,,,14/03/2020,35.048571429,20/03/2020,64.951428571,06MAR2020,-5.564642857
Czech Republic,05/05/2020,16/03/2020,,11/05/2020,12/03/2020,,27/03/2020,18/03/2020,10/03/2020,14/04/2020,12/03/2020,12/03/2020,19/03/2020,30/03/2020,16/03/2020,,,19/03/2020,09/04/2020,,18/03/2020,,27/03/2020,,,,13/03/2020,26/03/2020,01/05/2020,02/04/2020,,,,,14/03/2020,31.482380952,17/03/2020,68.517619048,06MAR2020,-9.641515152
Denmark,31/03/2020,,12/03/2020,17/03/2020,,,18/03/2020,,18/03/2020,04/05/2020,11/03/2020,,16/03/2020,12/03/2020,13/03/2020,,,27/02/2020,,,,,22/03/2020,,,30/03/2020,,25/03/2020,,30/03/2020,,,,,12/03/2020,48.935,17/03/2020,51.065,06MAR2020,-7.117575758
Egypt,,,,13/04/2020,,19/03/2020,17/03/2020,,28/04/2020,,15/03/2020,28/04/2020,25/03/2020,,15/03/2020,25/03/2020,25/03/2020,29/03/2020,,,30/05/2020,,,,,,24/03/2020,,,,,,,,19/03/2020,41.135,24/03/2020,58.865,15MAR2020,-5.201666667
Estonia,16/03/2020,17/03/2020,12/03/2020,30/04/2020,11/03/2020,11/05/2020,12/03/2020,,12/03/2020,,12/03/2020,12/03/2020,12/03/2020,11/04/2020,16/03/2020,,14/03/2020,19/03/2020,30/03/2020,30/03/2020,,,14/05/2020,,,08/05/2020,17/03/2020,,,,,,,,06/04/2020,56.132380952,16/03/2020,43.867619048,06MAR2020,-10.84733333
Finland,03/04/2020,19/03/2020,,16/03/2020,,,16/03/2020,,13/03/2020,15/04/2020,06/04/2020,17/03/2020,16/03/2020,,16/03/2020,,28/03/2020,15/03/2020,,,13/05/2020,,13/05/2020,,,14/05/2020,,,,27/03/2020,,,,,15/03/2020,58.813571429,17/03/2020,41.186428571,06MAR2020,-5.666060606
