COUNTRY,AWARE,BOR_CLOSE,PRISON,ADMIN,HEALTH,INTERNAT,POLICIES,IMP_EXP,PUB_GATHER,PUBHEALTH,SCHOOL,EMERGENCY,HEALTHSYS,MONITOR,BUS_CLOSE,CURFEWS,DOMESTIC,ECO_MEAS,MIL_DEP,PLOCK,PROTGEAR,MASSTEST,TEST,FUNERAL,FLOCK,GENERAL,VISA,PSYCH,DOCS,BOR_CHECK,RLOCK,CHECK,HUMAN,CBOR_CLOSE,stable_start_date,stable_retail_and_recreation,adjusted_stable_start_date,lost_retail_and_recreation,decline_start,slope
Afghanistan,24/01/2020,24/02/2020,31/03/2020,12/02/2020,27/01/2020,01/04/2020,02/02/2020,01/03/2020,01/03/2020,20/02/2020,01/03/2020,20/03/2020,04/02/2020,13/02/2020,,,,,,,,,,,,,,,,,,,,,28/03/2020,57.5,31/03/2020,42.5,22MAR2020,-3.392063492
Angola,11/03/2020,27/03/2020,,22/05/2020,,20/03/2020,11/05/2020,27/03/2020,11/05/2020,08/05/2020,11/05/2020,27/03/2020,27/03/2020,08/05/2020,,,27/03/2020,14/04/2020,,26/04/2020,26/04/2020,27/04/2020,09/05/2020,,,,,,,,,,,,27/03/2020,45.142857143,30/03/2020,54.857142857,26MAR2020,-9.772727273
Antigua and Barbuda,13/03/2020,,,16/03/2020,,,,,16/03/2020,,15/03/2020,,12/02/2020,,,28/03/2020,,14/05/2020,,16/04/2020,,,,28/03/2020,02/04/2020,,,,,,,,,,02/04/2020,21.357142857,02/04/2020,78.642857143,30MAR2020,-18.5
Argentina,17/02/2020,26/03/2020,,,,12/03/2020,08/05/2020,,12/03/2020,,16/03/2020,19/03/2020,18/03/2020,25/03/2020,16/03/2020,,19/03/2020,16/03/2020,,19/03/2020,31/03/2020,05/05/2020,24/04/2020,,,31/03/2020,11/03/2020,,,,,,,,20/03/2020,17,21/03/2020,83,12MAR2020,-8.777777778
Australia,20/03/2020,20/03/2020,,17/02/2020,,25/03/2020,02/04/2020,,13/03/2020,,,,12/03/2020,26/04/2020,,,09/04/2020,01/03/2020,,29/03/2020,,,25/03/2020,,,22/03/2020,,25/03/2020,,,,,,,24/03/2020,61.214285714,28/03/2020,38.785714286,13MAR2020,-2.8
Austria,13/04/2020,30/04/2020,,15/04/2020,,,,,10/03/2020,01/05/2020,16/03/2020,,21/03/2020,16/04/2020,16/03/2020,,14/03/2020,13/03/2020,04/05/2020,16/03/2020,01/05/2020,,16/04/2020,,,21/04/2020,19/03/2020,17/03/2020,25/03/2020,30/04/2020,24/04/2020,,,,15/03/2020,20.642857143,17/03/2020,79.357142857,08MAR2020,-10.78968254
Bahrain,28/04/2020,,,,,,18/03/2020,,,,26/02/2020,,14/04/2020,05/04/2020,15/03/2020,26/03/2020,,12/04/2020,,,09/04/2020,,06/04/2020,,,,,,,,,,,,18/03/2020,60,20/03/2020,40,15MAR2020,-5.6
Bangladesh,,,,19/03/2020,08/03/2020,21/03/2020,12/05/2020,,,,,,,,,10/04/2020,12/05/2020,08/05/2020,29/03/2020,29/03/2020,,,,,,,16/03/2020,,20/03/2020,,,,,,25/03/2020,31.571428571,26/03/2020,68.428571429,13MAR2020,-6
Barbados,22/01/2020,,19/03/2020,21/03/2020,01/03/2020,,04/03/2020,,16/03/2020,07/04/2020,19/03/2020,27/03/2020,05/02/2020,05/02/2020,11/03/2020,03/04/2020,,11/03/2020,,26/03/2020,05/05/2020,,20/03/2020,,03/04/2020,18/03/2020,,,,,,,,,29/03/2020,22.785714286,04/04/2020,77.214285714,23MAR2020,-5.507142857
Belarus,,,,12/03/2020,13/03/2020,,,,14/03/2020,,06/04/2020,,02/04/2020,01/04/2020,,,,24/04/2020,,,,18/03/2020,,,,20/03/2020,,,,,,,,,08/04/2020,73.642857143,03/04/2020,26.357142857,26MAR2020,-3.375
Belgium,01/02/2020,18/03/2020,,12/03/2020,03/06/2020,31/03/2020,,,18/03/2020,21/04/2020,13/03/2020,,12/03/2020,11/05/2020,13/03/2020,,18/03/2020,13/03/2020,,18/03/2020,,,04/05/2020,,,18/03/2020,,22/04/2020,,20/03/2020,,,,,17/03/2020,26,19/03/2020,74,24FEB2020,-3.402281746
Belize,25/03/2020,05/04/2020,,,,,,,16/03/2020,,16/03/2020,01/04/2020,,11/04/2020,25/03/2020,07/04/2020,,16/03/2020,,26/03/2020,04/05/2020,,,,,28/02/2020,,,,,,,,,25/03/2020,40.928571429,02/04/2020,59.071428571,,
Benin,,19/03/2020,,,03/03/2020,,19/03/2020,,19/03/2020,20/04/2020,23/03/2020,,23/04/2020,19/05/2020,11/05/2020,,23/03/2020,19/03/2020,30/03/2020,,08/04/2020,,20/04/2020,,,05/04/2020,17/03/2020,,,,,,,,30/03/2020,79.571428571,04/04/2020,20.428571429,13MAR2020,-1.13459268
Bolivia,,20/03/2020,,27/03/2020,14/03/2020,14/03/2020,,,14/03/2020,,,17/03/2020,14/04/2020,09/04/2020,17/03/2020,17/03/2020,21/03/2020,27/03/2020,26/03/2020,16/03/2020,,,,,,,,,,,,,,,19/03/2020,20.785714286,23/03/2020,79.214285714,07MAR2020,-5.88474026
Bosnia and Herzegovina,19/03/2020,,,14/05/2020,18/03/2020,,12/03/2020,,12/03/2020,14/03/2020,12/03/2020,16/03/2020,12/03/2020,,15/03/2020,17/03/2020,09/04/2020,16/03/2020,,,30/04/2020,,27/03/2020,,,12/03/2020,15/03/2020,15/04/2020,,,14/05/2020,,,,18/03/2020,30.785714286,23/03/2020,69.214285714,08MAR2020,-5.877922078
Botswana,,24/03/2020,15/04/2020,16/04/2020,,,24/03/2020,,16/03/2020,28/04/2020,,02/04/2020,,,,,21/05/2020,03/04/2020,,02/04/2020,,,18/03/2020,,,20/03/2020,21/03/2020,,,,,,,,03/04/2020,28.857142857,03/04/2020,71.142857143,31MAR2020,-26.66666667
