COUNTRY,AWARE,BOR_CLOSE,PRISON,ADMIN,HEALTH,INTERNAT,POLICIES,IMP_EXP,PUB_GATHER,PUBHEALTH,SCHOOL,EMERGENCY,HEALTHSYS,MONITOR,BUS_CLOSE,CURFEWS,DOMESTIC,ECO_MEAS,MIL_DEP,PLOCK,PROTGEAR,MASSTEST,TEST,FUNERAL,FLOCK,GENERAL,VISA,PSYCH,DOCS,BOR_CHECK,RLOCK,CHECK,HUMAN,CBOR_CLOSE,stable_start_date,stable_transit_stations,adjusted_stable_start_date,lost_transit_stations,decline_start,slope
Afghanistan,24/01/2020,24/02/2020,31/03/2020,12/02/2020,27/01/2020,01/04/2020,02/02/2020,01/03/2020,01/03/2020,20/02/2020,01/03/2020,20/03/2020,04/02/2020,13/02/2020,,,,,,,,,,,,,,,,,,,,,28/03/2020,59.785714286,31/03/2020,40.214285714,27MAR2020,-6.289285714
Angola,11/03/2020,27/03/2020,,22/05/2020,,20/03/2020,11/05/2020,27/03/2020,11/05/2020,08/05/2020,11/05/2020,27/03/2020,27/03/2020,08/05/2020,,,27/03/2020,14/04/2020,,26/04/2020,26/04/2020,27/04/2020,09/05/2020,,,,,,,,,,,,27/03/2020,41.857142857,31/03/2020,58.142857143,21MAR2020,-5.567532468
Antigua and Barbuda,13/03/2020,,,16/03/2020,,,,,16/03/2020,,15/03/2020,,12/02/2020,,,28/03/2020,,14/05/2020,,16/04/2020,,,,28/03/2020,02/04/2020,,,,,,,,,,31/03/2020,20.142857143,02/04/2020,79.857142857,,
Argentina,17/02/2020,26/03/2020,,,,12/03/2020,08/05/2020,,12/03/2020,,16/03/2020,19/03/2020,18/03/2020,25/03/2020,16/03/2020,,19/03/2020,16/03/2020,,19/03/2020,31/03/2020,05/05/2020,24/04/2020,,,31/03/2020,11/03/2020,,,,,,,,20/03/2020,22.142857143,23/03/2020,77.857142857,12MAR2020,-8.452184179
Australia,20/03/2020,20/03/2020,,17/02/2020,,25/03/2020,02/04/2020,,13/03/2020,,,,12/03/2020,26/04/2020,,,09/04/2020,01/03/2020,,29/03/2020,,,25/03/2020,,,22/03/2020,,25/03/2020,,,,,,,23/03/2020,44.785714286,29/03/2020,55.214285714,13MAR2020,-3.987824675
Austria,13/04/2020,30/04/2020,,15/04/2020,,,,,10/03/2020,01/05/2020,16/03/2020,,21/03/2020,16/04/2020,16/03/2020,,14/03/2020,13/03/2020,04/05/2020,16/03/2020,01/05/2020,,16/04/2020,,,21/04/2020,19/03/2020,17/03/2020,25/03/2020,30/04/2020,24/04/2020,,,,15/03/2020,32.928571429,21/03/2020,67.071428571,08MAR2020,-6.408424908
Bahrain,28/04/2020,,,,,,18/03/2020,,,,26/02/2020,,14/04/2020,05/04/2020,15/03/2020,26/03/2020,,12/04/2020,,,09/04/2020,,06/04/2020,,,,,,,,,,,,19/03/2020,64,20/03/2020,36,17MAR2020,-7.333333333
Bangladesh,,,,19/03/2020,08/03/2020,21/03/2020,12/05/2020,,,,,,,,,10/04/2020,12/05/2020,08/05/2020,29/03/2020,29/03/2020,,,,,,,16/03/2020,,20/03/2020,,,,,,25/03/2020,35.642857143,26/03/2020,64.357142857,13MAR2020,-5.769230769
Barbados,22/01/2020,,19/03/2020,21/03/2020,01/03/2020,,04/03/2020,,16/03/2020,07/04/2020,19/03/2020,27/03/2020,05/02/2020,05/02/2020,11/03/2020,03/04/2020,,11/03/2020,,26/03/2020,05/05/2020,,20/03/2020,,03/04/2020,18/03/2020,,,,,,,,,28/03/2020,21.285714286,04/04/2020,78.714285714,17MAR2020,-5.18968254
Belarus,,,,12/03/2020,13/03/2020,,,,14/03/2020,,06/04/2020,,02/04/2020,01/04/2020,,,,24/04/2020,,,,18/03/2020,,,,20/03/2020,,,,,,,,,08/04/2020,73.785714286,15/04/2020,26.214285714,28MAR2020,-1.52292769
